Bus,PGAz_V,Ours_V,dV,PGAz_Ang_deg,Ours_Ang_deg,dAng_deg,PGAz_Pg_MW,Ours_Pg_MW,dPg_MW,PGAz_Qg_Mvar,Ours_Qg_Mvar,dQg_Mvar
1,1.06,1.06,0,0,0,0,232.393,232.393272357899,0.000272357898666087,-16.549,-16.5493005413885,-0.000300541388490672
2,1.045,1.045,0,-4.983,-4.98258914197503,0.000410858024967098,40,39.9999999999998,-2.34479102800833e-13,43.557,43.5571001395116,0.0001001395115523
3,1.01,1.01,0,-12.725,-12.725099938268,-9.99382679562899e-05,0,3.33066907387547e-14,3.33066907387547e-14,25.075,25.075348499122,0.000348499122036827
4,1.018,1.01767085369176,-0.000329146308235329,-10.313,-10.3129010923316,9.89076683932666e-05,0,0,0,0,0,0
5,1.02,1.01951385981906,-0.000486140180939509,-8.774,-8.77385389829537,0.00014610170462781,0,0,0,0,0,0
6,1.07,1.07,0,-14.221,-14.2209464637021,5.3536297881962e-05,0,-4.16333634234434e-14,-4.16333634234434e-14,12.731,12.7309444072801,-5.55927198568895e-05
7,1.062,1.06151953249094,-0.000480467509061278,-13.36,-13.3596273653463,0.000372634653656334,0,0,0,0,0,0
8,1.09,1.09,0,-13.36,-13.3596273653463,0.000372634653656334,0,0,0,17.623,17.6234513680822,0.000451368082185155
9,1.056,1.05593172063697,-6.82793630284451e-05,-14.939,-14.9385212952291,0.00047870477091827,0,0,0,0,0,0
10,1.051,1.05098462499985,-1.53750001523623e-05,-15.097,-15.0972884630711,-0.000288463071075995,0,0,0,0,0,0
11,1.057,1.05690651854036,-9.34814596349476e-05,-14.791,-14.7906220313216,0.000377968678368035,0,0,0,0,0,0
12,1.055,1.0551885631971,0.000188563197103919,-15.076,-15.0755845204244,0.000415479575636368,0,0,0,0,0,0
13,1.05,1.0503817136286,0.000381713628595071,-15.156,-15.156276336222,-0.000276336222022167,0,0,0,0,0,0
14,1.036,1.03552994585357,-0.000470054146433974,-16.034,-16.0336445292056,0.000355470794424662,0,0,0,0,0,0
