Bus,PGAz_V,Ours_V,dV,PGAz_Ang_deg,Ours_Ang_deg,dAng_deg,PGAz_Pg_MW,Ours_Pg_MW,dPg_MW,PGAz_Qg_Mvar,Ours_Qg_Mvar,dQg_Mvar,PSAT_V,PSAT_Ang_deg,PSAT_minus_PGAz_V,PSAT_minus_Ours_V,PSAT_minus_PGAz_Ang_deg,PSAT_minus_Ours_Ang_deg
1,1.06,1.06,0,0,0,0,232.393,232.393272357899,0.000272357898666087,-16.549,-16.5493005413885,-0.000300541388490672,1.06,0,0,0,0,0
2,1.045,1.045,0,-4.983,-4.98258914197503,0.000410858024967098,40,39.9999999999998,-2.34479102800833e-13,43.557,43.5571001395116,0.0001001395115523,1.045,-30.1016816964462,0,0,-25.1186816964462,-25.1190925544712
3,1.01,1.01,0,-12.725,-12.725099938268,-9.99382679562899e-05,0,3.33066907387547e-14,3.33066907387547e-14,25.075,25.075348499122,0.000348499122036827,1.01,-74.5891589954638,0,0,-61.8641589954638,-61.8640590571958
4,1.018,1.01767085369176,-0.000329146308235329,-10.313,-10.3129010923316,9.89076683932666e-05,0,0,0,0,0,0,0.158720193288803,47.5335505996864,-0.859279806711197,-0.858950660402957,57.8465505996864,57.846451692018
5,1.02,1.01951385981906,-0.000486140180939509,-8.774,-8.77385389829537,0.00014610170462781,0,0,0,0,0,0,1e-06,-67365.8246201776,-1.019999,-1.01951285981906,-67357.0506201776,-67357.0507662793
6,1.07,1.07,0,-14.221,-14.2209464637021,5.3536297881962e-05,0,-4.16333634234434e-14,-4.16333634234434e-14,12.731,12.7309444072801,-5.55927198568895e-05,1.07,1771.24292432415,0,0,1785.46392432415,1785.46387078786
7,1.062,1.06151953249094,-0.000480467509061278,-13.36,-13.3596273653463,0.000372634653656334,0,0,0,0,0,0,1e-06,1456.24556727951,-1.061999,-1.06151853249094,1469.60556727951,1469.60519464486
8,1.09,1.09,0,-13.36,-13.3596273653463,0.000372634653656334,0,0,0,17.623,17.6234513680822,0.000451368082185155,1.09,1456.24556727983,0,0,1469.60556727983,1469.60519464518
9,1.056,1.05593172063697,-6.82793630284451e-05,-14.939,-14.9385212952291,0.00047870477091827,0,0,0,0,0,0,0.611248585631959,1802.57889300506,-0.444751414368041,-0.444683135005011,1817.51789300506,1817.51741430029
10,1.051,1.05098462499985,-1.53750001523623e-05,-15.097,-15.0972884630711,-0.000288463071075995,0,0,0,0,0,0,0.647790517164748,1817.41193415204,-0.403209482835252,-0.403194107835102,1832.50893415204,1832.50922261511
11,1.057,1.05690651854036,-9.34814596349476e-05,-14.791,-14.7906220313216,0.000377968678368035,0,0,0,0,0,0,0.839211544492796,1785.41553261568,-0.217788455507204,-0.217694974047564,1800.20653261568,1800.206154647
12,1.055,1.0551885631971,0.000188563197103919,-15.076,-15.0755845204244,0.000415479575636368,0,0,0,0,0,0,1.01329363545214,1771.54254620871,-0.0417063645478606,-0.0418949277449607,1786.61854620871,1786.61813072914
13,1.05,1.0503817136286,0.000381713628595071,-15.156,-15.156276336222,-0.000276336222022167,0,0,0,0,0,0,0.976760435204764,1773.76672749777,-0.0732395647952362,-0.0736212784238361,1788.92272749777,1788.92300383399
14,1.036,1.03552994585357,-0.000470054146433974,-16.034,-16.0336445292056,0.000355470794424662,0,0,0,0,0,0,0.70690371436739,1795.04778548456,-0.32909628563261,-0.32862623148618,1811.08178548456,1811.08143001376
