bus_id,type,Pd_MW,Qd_MVAr,Gs_MW,Bs_MVAr,Vm0_pu,Va0_deg,base_kV,Vmax_pu,Vmin_pu
1,REF,0,0,0,0,1.06,0,0,1.06,0.94
2,PV,21.7,12.7,0,0,1.045,-4.98,0,1.06,0.94
3,PV,94.2,19,0,0,1.01,-12.72,0,1.06,0.94
4,PQ,47.8,-3.9,0,0,1.019,-10.33,0,1.06,0.94
5,PQ,7.6,1.6,0,0,1.02,-8.78,0,1.06,0.94
6,PV,11.2,7.5,0,0,1.07,-14.22,0,1.06,0.94
7,PQ,0,0,0,0,1.062,-13.37,0,1.06,0.94
8,PV,0,0,0,0,1.09,-13.36,0,1.06,0.94
9,PQ,29.5,16.6,0,19,1.056,-14.94,0,1.06,0.94
10,PQ,9,5.8,0,0,1.051,-15.1,0,1.06,0.94
11,PQ,3.5,1.8,0,0,1.057,-14.79,0,1.06,0.94
12,PQ,6.1,1.6,0,0,1.055,-15.07,0,1.06,0.94
13,PQ,13.5,5.8,0,0,1.05,-15.16,0,1.06,0.94
14,PQ,14.9,5,0,0,1.036,-16.04,0,1.06,0.94
