bus_position,bus_id,type,V_pu,V_kV,angle_deg
1,1,REF,1.06,73.14,0
2,2,PQ,1.00950659950404,69.6559553657787,-3.78849156527524
3,3,PQ,0.948186592811111,65.4248749039666,-10.8350008215583
4,4,PQ,0.96949618052522,66.8952364562402,-8.71897269058162
5,5,PQ,0.977482746880888,67.4463095347813,-7.33519076653623
6,6,PQ,0.99864592965849,68.9065691464358,-12.6143600739899
7,7,PQ,0.986912899856364,68.0969900900891,-11.7171273661745
8,8,PQ,0.986912899856917,68.0969900901272,-11.7171273661745
9,9,PQ,0.985693700257561,68.0128653177717,-13.3027985042436
10,10,PQ,0.981050096068468,67.6924566287243,-13.4667771172269
11,11,PQ,0.986508993015493,68.069120518069,-13.1719835732753
12,12,PQ,0.984830369933818,67.9532955254334,-13.4668971938884
13,13,PQ,0.980366070741151,67.6452588811394,-13.5456795373423
14,14,PQ,0.96658756748665,66.6945421565788,-14.4088511758622
