bus_id,P_gen_pu,Q_gen_pu,P_load_pu,Q_load_pu,P_net_pu,Q_net_pu
1,2.32393272357899,-0.165493005413885,0,0,2.32393272357899,-0.165493005413885
2,0.399999999999997,0.435571001395116,0.217,0.127,0.182999999999997,0.308571001395116
3,3.33066907387547e-16,0.25075348499122,0.942,0.19,-0.942,0.0607534849912204
4,0,0,0.478,-0.039,-0.478,0.039
5,0,0,0.076,0.016,-0.076,-0.016
6,-4.16333634234434e-16,0.127309444072801,0.112,0.075,-0.112,0.0523094440728014
7,0,0,0,0,0,0
8,0,0.176234513680822,0,0,0,0.176234513680822
9,0,0,0.295,0.166,-0.295,-0.166
10,0,0,0.09,0.058,-0.09,-0.058
11,0,0,0.035,0.018,-0.035,-0.018
12,0,0,0.061,0.016,-0.061,-0.016
13,0,0,0.135,0.058,-0.135,-0.058
14,0,0,0.149,0.05,-0.149,-0.05
