mode,raw_eigen_index,pair_id,real_1_per_s,imag_1_per_s,frequency_Hz,damping_ratio,dominant_device,global_state,local_state,dominant_state,participation_percent
1,4,4,355339.094581153,0,0,-1,IBR6,66,14,gfl_delta_PLL,99.9870579696877
2,5,5,351605.475375781,0,0,-1,IBR8,89,14,gfl_delta_PLL,99.9869205771378
3,3,3,339166.320606621,0,0,-1,IBR3,43,14,gfl_delta_PLL,99.9864410105203
4,11,10,4.19197925694463e-06,0,0,-1,IBR2,11,5,gfm_delta_PLL,85.6518410649623
5,47,45,0,0,0,-0,SG1,1,1,delta,NaN
6,12,11,-0.252363818392573,0,0,1,SG1,3,3,Eqp,93.8653866394679
7,13,12,-1.36383183621801,0,0,1,SG1,2,2,omega,32.9113813358976
8,14,13,-2.10719816037242,0,0,1,IBR2,10,4,gfm_x_Eint,67.4098507391389
9,8,8,-6.28642368017956,19.2747895455511,3.06767803323044,0.310072593501126,IBR2,11,5,gfm_delta_PLL,29.1421011003945
10,9,8,-6.28642368017956,-19.2747895455511,3.06767803323044,0.310072593501126,IBR2,11,5,gfm_delta_PLL,29.1421011003945
11,38,36,-11.1077387416204,0,0,1,SG1,1,1,delta,NaN
12,37,35,-11.1077387416205,0,0,1,SG1,1,1,delta,NaN
13,28,26,-11.2019766923371,0,0,1,IBR2,12,6,gfm_x_PLL_int,87.9543812048371
14,35,33,-11.3095561109089,0,0,1,SG1,1,1,delta,NaN
15,36,34,-11.3095561109089,0,0,1,SG1,1,1,delta,NaN
16,39,37,-11.3685367476716,8.69383318689105e-15,1.38366652611008e-15,1,SG1,1,1,delta,NaN
17,40,38,-11.3685367476716,-8.69383318689105e-15,1.38366652611008e-15,1,SG1,1,1,delta,NaN
18,15,14,-34.7424002675584,0.0576035172290812,0.00916788450648742,0.999998625491361,SG1,6,6,Edpp,43.7515750730888
19,16,14,-34.7424002675584,-0.0576035172290812,0.00916788450648742,0.999998625491361,SG1,6,6,Edpp,43.7515750730888
20,21,19,-45.9937620190321,0,0,1,SG1,1,1,delta,NaN
21,23,21,-45.9939826784524,0,0,1,SG1,1,1,delta,NaN
22,22,20,-45.9940458954743,0,0,1,IBR6,67,15,gfl_xi_PLL,99.9870579696877
23,29,27,-49.9999999994567,0,0,1,SG1,1,1,delta,NaN
24,1,1,-49.9999999995874,0,0,1,SG1,1,1,delta,NaN
25,2,2,-49.9999999995874,0,0,1,SG1,1,1,delta,NaN
26,30,28,-49.9999999997298,0,0,1,SG1,1,1,delta,NaN
27,44,42,-50.2263628949162,0,0,1,SG1,1,1,delta,NaN
28,43,41,-50.2263628950489,0,0,1,SG1,1,1,delta,NaN
29,41,39,-50.2275558870606,0,0,1,SG1,1,1,delta,NaN
30,42,40,-50.2275558871939,0,0,1,SG1,1,1,delta,NaN
31,45,43,-50.2278999082976,0,0,1,SG1,1,1,delta,NaN
32,46,44,-50.227899908431,0,0,1,SG1,1,1,delta,NaN
33,10,9,-61.815362497439,0,0,1,IBR2,15,9,gfm_Qinv_f,80.3878864119682
34,7,7,-93.1962887785066,0,0,1,IBR2,8,2,gfm_delta_IT,46.8685340592278
35,26,24,-119.227045497727,0,0,1,SG1,1,1,delta,NaN
36,27,25,-119.227045498117,0,0,1,SG1,1,1,delta,NaN
37,25,23,-122.567440701804,0,0,1,SG1,1,1,delta,NaN
38,24,22,-122.56744070222,0,0,1,SG1,1,1,delta,NaN
39,33,31,-123.591630606686,0,0,1,SG1,1,1,delta,NaN
40,34,32,-123.591630607111,0,0,1,SG1,1,1,delta,NaN
41,6,6,-189.13434179136,0,0,1,IBR2,7,1,gfm_omega_m,75.6520989650176
42,31,29,-364.81193273481,0,0,1,SG1,1,1,delta,NaN
43,32,30,-364.811932737345,0,0,1,SG1,1,1,delta,NaN
44,19,17,-365.895447297701,0,0,1,SG1,1,1,delta,NaN
45,20,18,-365.895447300228,0,0,1,SG1,1,1,delta,NaN
46,18,16,-369.438852863238,0,0,1,SG1,1,1,delta,NaN
47,17,15,-369.438852865737,0,0,1,SG1,1,1,delta,NaN
48,48,46,-782273.866484393,0,0,1,IBR2,19,13,gfm_delta_ITmin,100
