global_state,device_index,device_id,bus_id,local_state,state_name,A_index,status
1,1,SG1,1,1,delta,1,ACTIVE_IN_A
2,1,SG1,1,2,omega,2,ACTIVE_IN_A
3,1,SG1,1,3,Eqp,3,ACTIVE_IN_A
4,1,SG1,1,4,Edp,NaN,FROZEN_NOT_IN_A
5,1,SG1,1,5,Eqpp,4,ACTIVE_IN_A
6,1,SG1,1,6,Edpp,5,ACTIVE_IN_A
7,2,IBR2,2,1,gfm_omega_m,6,ACTIVE_IN_A
8,2,IBR2,2,2,gfm_delta_IT,7,ACTIVE_IN_A
9,2,IBR2,2,3,gfm_x_washout,8,ACTIVE_IN_A
10,2,IBR2,2,4,gfm_x_Eint,9,ACTIVE_IN_A
11,2,IBR2,2,5,gfm_delta_PLL,10,ACTIVE_IN_A
12,2,IBR2,2,6,gfm_x_PLL_int,11,ACTIVE_IN_A
13,2,IBR2,2,7,gfm_Pinv_f,12,ACTIVE_IN_A
14,2,IBR2,2,8,gfm_Idinv_f,13,ACTIVE_IN_A
15,2,IBR2,2,9,gfm_Qinv_f,14,ACTIVE_IN_A
16,2,IBR2,2,10,gfm_Vinv_f,15,ACTIVE_IN_A
17,2,IBR2,2,11,gfm_Iqinv_f,16,ACTIVE_IN_A
18,2,IBR2,2,12,gfm_delta_ITmax,17,ACTIVE_IN_A
19,2,IBR2,2,13,gfm_delta_ITmin,18,ACTIVE_IN_A
20,2,IBR2,2,14,gfl_delta_PLL,NaN,FROZEN_NOT_IN_A
21,2,IBR2,2,15,gfl_xi_PLL,NaN,FROZEN_NOT_IN_A
22,2,IBR2,2,16,gfl_P_f,NaN,FROZEN_NOT_IN_A
23,2,IBR2,2,17,gfl_Q_f,NaN,FROZEN_NOT_IN_A
24,2,IBR2,2,18,gfl_xi_P,NaN,FROZEN_NOT_IN_A
25,2,IBR2,2,19,gfl_xi_Q,NaN,FROZEN_NOT_IN_A
26,2,IBR2,2,20,gfl_xi_id,NaN,FROZEN_NOT_IN_A
27,2,IBR2,2,21,gfl_xi_iq,NaN,FROZEN_NOT_IN_A
28,2,IBR2,2,22,gfl_i_d,NaN,FROZEN_NOT_IN_A
29,2,IBR2,2,23,gfl_i_q,NaN,FROZEN_NOT_IN_A
30,3,IBR3,3,1,gfm_omega_m,NaN,FROZEN_NOT_IN_A
31,3,IBR3,3,2,gfm_delta_IT,NaN,FROZEN_NOT_IN_A
32,3,IBR3,3,3,gfm_x_washout,NaN,FROZEN_NOT_IN_A
33,3,IBR3,3,4,gfm_x_Eint,NaN,FROZEN_NOT_IN_A
34,3,IBR3,3,5,gfm_delta_PLL,NaN,FROZEN_NOT_IN_A
35,3,IBR3,3,6,gfm_x_PLL_int,NaN,FROZEN_NOT_IN_A
36,3,IBR3,3,7,gfm_Pinv_f,NaN,FROZEN_NOT_IN_A
37,3,IBR3,3,8,gfm_Idinv_f,NaN,FROZEN_NOT_IN_A
38,3,IBR3,3,9,gfm_Qinv_f,NaN,FROZEN_NOT_IN_A
39,3,IBR3,3,10,gfm_Vinv_f,NaN,FROZEN_NOT_IN_A
40,3,IBR3,3,11,gfm_Iqinv_f,NaN,FROZEN_NOT_IN_A
41,3,IBR3,3,12,gfm_delta_ITmax,NaN,FROZEN_NOT_IN_A
42,3,IBR3,3,13,gfm_delta_ITmin,NaN,FROZEN_NOT_IN_A
43,3,IBR3,3,14,gfl_delta_PLL,19,ACTIVE_IN_A
44,3,IBR3,3,15,gfl_xi_PLL,20,ACTIVE_IN_A
45,3,IBR3,3,16,gfl_P_f,21,ACTIVE_IN_A
46,3,IBR3,3,17,gfl_Q_f,22,ACTIVE_IN_A
47,3,IBR3,3,18,gfl_xi_P,23,ACTIVE_IN_A
48,3,IBR3,3,19,gfl_xi_Q,24,ACTIVE_IN_A
49,3,IBR3,3,20,gfl_xi_id,25,ACTIVE_IN_A
50,3,IBR3,3,21,gfl_xi_iq,26,ACTIVE_IN_A
51,3,IBR3,3,22,gfl_i_d,27,ACTIVE_IN_A
52,3,IBR3,3,23,gfl_i_q,28,ACTIVE_IN_A
53,4,IBR6,6,1,gfm_omega_m,NaN,FROZEN_NOT_IN_A
54,4,IBR6,6,2,gfm_delta_IT,NaN,FROZEN_NOT_IN_A
55,4,IBR6,6,3,gfm_x_washout,NaN,FROZEN_NOT_IN_A
56,4,IBR6,6,4,gfm_x_Eint,NaN,FROZEN_NOT_IN_A
57,4,IBR6,6,5,gfm_delta_PLL,NaN,FROZEN_NOT_IN_A
58,4,IBR6,6,6,gfm_x_PLL_int,NaN,FROZEN_NOT_IN_A
59,4,IBR6,6,7,gfm_Pinv_f,NaN,FROZEN_NOT_IN_A
60,4,IBR6,6,8,gfm_Idinv_f,NaN,FROZEN_NOT_IN_A
61,4,IBR6,6,9,gfm_Qinv_f,NaN,FROZEN_NOT_IN_A
62,4,IBR6,6,10,gfm_Vinv_f,NaN,FROZEN_NOT_IN_A
63,4,IBR6,6,11,gfm_Iqinv_f,NaN,FROZEN_NOT_IN_A
64,4,IBR6,6,12,gfm_delta_ITmax,NaN,FROZEN_NOT_IN_A
65,4,IBR6,6,13,gfm_delta_ITmin,NaN,FROZEN_NOT_IN_A
66,4,IBR6,6,14,gfl_delta_PLL,29,ACTIVE_IN_A
67,4,IBR6,6,15,gfl_xi_PLL,30,ACTIVE_IN_A
68,4,IBR6,6,16,gfl_P_f,31,ACTIVE_IN_A
69,4,IBR6,6,17,gfl_Q_f,32,ACTIVE_IN_A
70,4,IBR6,6,18,gfl_xi_P,33,ACTIVE_IN_A
