time_s,SG1_angle_deg,SG1_frequency_Hz,SG1_P_MW,SG1_Q_MVAr,SG1_I_pu,SG1_V_pu,IBR2_angle_deg,IBR2_frequency_Hz,IBR2_P_MW,IBR2_Q_MVAr,IBR2_I_pu,IBR2_V_pu,IBR3_angle_deg,IBR3_frequency_Hz,IBR3_P_MW,IBR3_Q_MVAr,IBR3_I_pu,IBR3_V_pu,IBR6_angle_deg,IBR6_frequency_Hz,IBR6_P_MW,IBR6_Q_MVAr,IBR6_I_pu,IBR6_V_pu,IBR8_angle_deg,IBR8_frequency_Hz,IBR8_P_MW,IBR8_Q_MVAr,IBR8_I_pu,IBR8_V_pu,fault_bus4_V_pu
0,11.4627959514172,60,215.832523985106,-5.293145690365,2.0367681096774,1.06,-3.20732948883582,60,40,80.519244433198,0.860358328427668,1.045,-11.5927509103673,59.9999999999985,-5.23478843621713e-27,-1.2175655211094e-25,1.2464030009568e-27,0.977765875361822,-13.2393448514174,59.9999999999985,0,0,0,1.02439589124011,-12.3776050729147,59.9999999999985,0,0,0,1.01363096475053,0.996211523766812
0.01,11.4627959514172,60,215.832523985106,-5.293145690365,2.0367681096774,1.06,-3.20732948883582,60,40,80.519244433198,0.860358328427668,1.045,-11.5927509103673,59.9999999999985,-5.23478843621713e-27,-1.2175655211094e-25,1.2464030009568e-27,0.977765875361822,-13.2393448514174,59.9999999999985,0,0,0,1.02439589124011,-12.3776050729147,59.9999999999985,0,0,0,1.01363096475053,0.996211523766812
0.02,11.4627959514172,60,215.832523985106,-5.293145690365,2.0367681096774,1.06,-3.20732948883582,60,40,80.519244433198,0.860358328427668,1.045,-11.5927509103673,59.9999999999985,-5.23478843621713e-27,-1.2175655211094e-25,1.2464030009568e-27,0.977765875361822,-13.2393448514174,59.9999999999985,0,0,0,1.02439589124011,-12.3776050729147,59.9999999999985,0,0,0,1.01363096475053,0.996211523766812
0.03,11.4627959514172,60,215.832523985106,-5.293145690365,2.0367681096774,1.06,-3.20732948883582,60,40,80.519244433198,0.860358328427668,1.045,-11.5927509103673,59.9999999999985,-5.23478843621713e-27,-1.2175655211094e-25,1.2464030009568e-27,0.977765875361822,-13.2393448514174,59.9999999999985,0,0,0,1.02439589124011,-12.3776050729147,59.9999999999985,0,0,0,1.01363096475053,0.996211523766812
0.04,11.4627959514172,60,215.832523985106,-5.293145690365,2.0367681096774,1.06,-3.20732948883582,60,40,80.519244433198,0.860358328427668,1.045,-11.5927509103673,59.9999999999985,-5.23478843621713e-27,-1.2175655211094e-25,1.2464030009568e-27,0.977765875361822,-13.2393448514174,59.9999999999985,0,0,0,1.02439589124011,-12.3776050729147,59.9999999999985,0,0,0,1.01363096475053,0.996211523766812
0.05,11.4627959514172,60,215.832523985106,-5.293145690365,2.0367681096774,1.06,-3.20732948883582,60,40,80.519244433198,0.860358328427668,1.045,-11.5927509103673,59.9999999999985,-5.23478843621713e-27,-1.2175655211094e-25,1.2464030009568e-27,0.977765875361822,-13.2393448514174,59.9999999999985,0,0,0,1.02439589124011,-12.3776050729147,59.9999999999985,0,0,0,1.01363096475053,0.996211523766812
0.06,11.4627959514172,60,215.832523985106,-5.293145690365,2.0367681096774,1.06,-3.20732948883582,60,40,80.519244433198,0.860358328427668,1.045,-11.5927509103673,59.9999999999985,-5.23478843621713e-27,-1.2175655211094e-25,1.2464030009568e-27,0.977765875361822,-13.2393448514174,59.9999999999985,0,0,0,1.02439589124011,-12.3776050729147,59.9999999999985,0,0,0,1.01363096475053,0.996211523766812
0.07,11.4627959514172,60,215.832523985106,-5.293145690365,2.0367681096774,1.06,-3.20732948883582,60,40,80.519244433198,0.860358328427668,1.045,-11.5927509103673,59.9999999999985,-5.23478843621713e-27,-1.2175655211094e-25,1.2464030009568e-27,0.977765875361822,-13.2393448514174,59.9999999999985,0,0,0,1.02439589124011,-12.3776050729147,59.9999999999985,0,0,0,1.01363096475053,0.996211523766812
0.08,11.4627959514172,60,215.832523985106,-5.293145690365,2.0367681096774,1.06,-3.20732948883582,60,40,80.519244433198,0.860358328427668,1.045,-11.5927509103673,59.9999999999985,-5.23478843621713e-27,-1.2175655211094e-25,1.2464030009568e-27,0.977765875361822,-13.2393448514174,59.9999999999985,0,0,0,1.02439589124011,-12.3776050729147,59.9999999999985,0,0,0,1.01363096475053,0.996211523766812
0.09,11.4627959514172,60,215.832523985106,-5.293145690365,2.0367681096774,1.06,-3.20732948883582,60,40,80.519244433198,0.860358328427668,1.045,-11.5927509103673,59.9999999999985,-5.23478843621713e-27,-1.2175655211094e-25,1.2464030009568e-27,0.977765875361822,-13.2393448514174,59.9999999999985,0,0,0,1.02439589124011,-12.3776050729147,59.9999999999985,0,0,0,1.01363096475053,0.996211523766812
0.1,11.4627959514172,60,215.832523985106,-5.293145690365,2.0367681096774,1.06,-3.20732948883582,60,40,80.519244433198,0.860358328427668,1.045,-11.5927509103673,59.9999999999985,-5.23478843621713e-27,-1.2175655211094e-25,1.2464030009568e-27,0.977765875361822,-13.2393448514174,59.9999999999985,0,0,0,1.02439589124011,-12.3776050729147,59.9999999999985,0,0,0,1.01363096475053,0.996211523766812
