bus,type,V_pu,angle_deg,Pg_pu,Qg_pu,Pl_pu,Ql_pu
1,1,1.06,0,1.31894653836963,-0.269507827209863,0,0
2,3,1.05456325316263,-2.90583124845851,0.318590026173424,0.174189566917244,0.217,0.127
3,3,1.03301325289186,-7.68730409592448,0.28972301471348,0.158406485805766,0.942,0.19
4,3,1.04894585188948,-5.96182416854869,0,0,0.478,-0.039
5,3,1.05071523077536,-4.91022236061962,0,0,0.076,0.016
6,3,1.1270502511797,-5.93410345690854,0.446254165000836,0.243990123200523,0.112,0.075
7,3,1.0951446584596,-6.13529059350987,0,0,0,0
8,3,1.1174942333043,-3.91764762153983,0.26884049578501,0.146988937767677,0,0
9,3,1.09397948739877,-7.63931780982517,0,0,0.295,0.166
10,3,1.09237419869786,-7.59030951015334,0,0,0.09,0.058
11,3,1.10580384641821,-6.87563997930457,0,0,0.035,0.018
12,3,1.11173609297258,-6.78920091150072,0,0,0.061,0.016
13,3,1.10530395131109,-6.920642212623,0,0,0.135,0.058
14,3,1.08160677481875,-8.23959899125453,0,0,0.149,0.05
