line,from_bus,to_bus,P_from_pu,Q_from_pu,P_loss_pu,Q_loss_pu
1,1,2,0.900927986886138,-0.203057009062833,0.0145183849799598,-0.0146958045980545
2,1,5,0.418018551483494,-0.0664508181470254,0.00847504239101349,-0.0198133938863686
3,2,3,0.464318024884645,-0.000620584778026345,0.00913323362316359,-0.00924638589163372
4,2,4,0.314333907139818,-0.0799819500609915,0.00535774978171927,-0.0213539203253447
5,2,5,0.209347696057854,-0.0605691027086256,0.00233179309681816,-0.0312191950853094
6,3,4,-0.197092194025398,-0.0229677130800252,0.00245566268533745,-0.00760378251000772
7,4,5,-0.447907232680658,0.102332251384149,0.00256122954416899,0.0080789045771503
8,4,7,0.0170052204452348,-0.115900716810721,1.07552855510562e-16,0.00249453394989897
9,4,9,0.0623303128804012,-0.0214234948767601,6.93889390390723e-18,0.00206181645596712
10,5,6,0.0900909498313344,0.0022660149227882,-1.38777878078145e-17,0.00161040005741283
11,6,11,0.130987651927849,0.0586869290548602,0.00154047024475398,0.00322593737293713
12,6,12,0.085938686661155,0.0267254603186539,0.000783736415022745,0.00163117413007055
13,6,13,0.20741877626466,0.0842333486878208,0.00260996892794962,0.00513984357133787
14,7,8,-0.268840495803131,-0.133746449770811,0,0.0132424880017996
15,7,9,0.285845716244868,0.0153511990173744,5.55111512312578e-17,0.00751628674207739
16,9,10,-0.00374100152107698,0.0221963471329887,1.34670664591156e-05,3.5773879779797e-05
17,9,14,0.0569170306323588,0.0235435663940629,0.000402940829257452,0.000857109129215872
18,10,11,-0.0937544685909075,-0.0358394267450425,0.000692713090289884,0.00162156493908564
19,12,13,0.0241549502422906,0.00909428619075623,0.000119073514115289,0.000107733179437641
20,13,14,0.0938446840588156,0.0300800581332146,0.0013587738565751,0.00276651540142315
